iter	Passed	Remaining
0	135	135808
1	136	68355
2	138	45865
3	139	34640
4	140	27869
5	140	23346
6	141	20121
7	142	17701
8	143	15816
9	144	14265
10	145	13037
11	145	12009
12	146	11123
13	147	10353
14	147	9710
15	148	9156
16	149	8663
17	150	8222
18	151	7825
19	152	7468
20	153	7148
21	154	6856
22	155	6589
23	156	6344
24	156	6108
25	157	5888
26	158	5696
27	158	5518
28	159	5350
29	160	5196
30	161	5043
31	161	4896
32	162	4769
33	163	4651
34	164	4540
35	165	4434
36	166	4333
37	167	4231
38	168	4142
39	169	4057
40	170	3978
41	170	3899
42	171	3816
43	172	3745
44	173	3677
45	174	3612
46	175	3550
47	176	3490
48	176	3434
49	177	3381
50	179	3332
51	180	3284
52	181	3236
53	182	3189
54	182	3139
55	183	3091
56	184	3048
57	185	3009
58	186	2970
59	186	2923
60	187	2885
61	188	2849
62	189	2814
63	190	2780
64	191	2747
65	191	2715
66	192	2685
67	193	2655
68	194	2625
69	195	2591
70	195	2563
71	196	2533
72	197	2507
73	198	2481
74	198	2451
75	199	2427
76	200	2408
77	201	2385
78	202	2363
79	203	2341
80	204	2319
81	204	2291
82	205	2271
83	205	2245
84	206	2227
85	207	2210
86	208	2192
87	209	2174
88	210	2157
89	211	2140
90	212	2123
91	213	2107
92	214	2091
93	215	2075
94	216	2060
95	217	2045
96	218	2030
97	218	2015
98	219	2001
99	220	1987
100	221	1973
101	222	1961
102	223	1948
103	224	1935
104	225	1922
105	226	1909
106	227	1897
107	228	1884
108	229	1872
109	229	1860
110	230	1848
111	231	1838
112	232	1827
113	233	1815
114	234	1804
115	235	1790
116	235	1780
117	236	1770
118	237	1759
119	238	1750
120	239	1740
121	240	1730
122	241	1720
123	242	1710
124	242	1700
125	243	1691
126	244	1679
127	245	1670
128	245	1658
129	246	1649
130	247	1643
131	248	1633
132	249	1625
133	250	1617
134	251	1611
135	252	1604
136	253	1596
137	254	1589
138	255	1581
139	256	1574
140	257	1566
141	258	1558
142	258	1551
143	259	1542
144	260	1535
145	261	1528
146	262	1520
147	263	1514
148	264	1508
149	265	1502
150	266	1495
151	266	1489
152	267	1483
153	268	1476
154	269	1470
155	270	1464
156	271	1458
157	272	1453
158	273	1447
159	274	1441
160	275	1435
161	276	1429
162	277	1423
163	278	1417
164	279	1412
165	280	1407
166	281	1401
167	281	1396
168	282	1390
169	283	1385
170	284	1379
171	285	1374
172	286	1368
173	287	1363
174	288	1358
175	289	1353
176	289	1348
177	290	1342
178	291	1338
179	292	1332
180	293	1328
181	294	1324
182	295	1319
183	296	1314
184	297	1309
185	298	1304
186	299	1300
187	299	1295
188	300	1290
189	301	1286
190	302	1281
191	303	1277
192	304	1272
193	305	1268
194	306	1263
195	306	1259
196	308	1255
197	309	1251
198	310	1248
199	310	1241
200	311	1237
201	312	1233
202	313	1228
203	313	1224
204	314	1220
205	315	1216
206	316	1212
207	317	1208
208	318	1204
209	319	1200
210	320	1196
211	321	1193
212	322	1190
213	323	1187
214	324	1183
215	325	1180
216	326	1178
217	327	1175
218	328	1172
219	329	1169
220	330	1166
221	331	1162
222	332	1159
223	333	1155
224	334	1152
225	335	1149
226	336	1145
227	337	1142
228	338	1139
229	339	1135
230	340	1132
231	341	1129
232	342	1126
233	342	1121
234	343	1117
235	344	1114
236	345	1111
237	345	1107
238	346	1104
239	347	1101
240	348	1096
241	349	1093
242	349	1090
243	350	1086
244	351	1084
245	352	1081
246	353	1078
247	354	1075
248	355	1072
249	356	1070
250	357	1067
251	358	1064
252	359	1061
253	360	1058
254	361	1055
255	362	1052
256	363	1049
257	363	1046
258	364	1044
259	366	1041
260	367	1039
261	368	1036
262	368	1033
263	369	1030
264	370	1027
265	371	1025
266	372	1022
267	373	1019
268	374	1017
269	375	1014
270	376	1011
271	376	1008
272	377	1006
273	378	1003
274	379	1000
275	380	998
276	381	996
277	382	993
278	383	991
279	384	988
280	385	985
281	386	983
282	387	980
283	388	978
284	388	975
285	389	973
286	390	970
287	391	968
288	392	965
289	393	963
290	394	960
291	395	958
292	396	956
293	397	953
294	397	951
295	398	948
296	399	946
297	400	943
298	401	941
299	402	938
300	403	936
301	404	934
302	405	931
303	406	929
304	406	927
305	407	924
306	408	922
307	409	920
308	410	918
309	411	915
310	412	913
311	413	911
312	414	908
313	414	906
314	415	904
315	416	901
316	417	899
317	418	897
318	419	895
319	420	893
320	421	890
321	422	888
322	423	886
323	423	884
324	424	882
325	425	880
326	426	878
327	427	876
328	428	874
329	429	872
330	430	870
331	431	868
332	432	866
333	433	864
334	434	862
335	435	861
336	436	859
337	437	857
338	438	855
339	439	853
340	440	851
341	441	849
342	442	847
343	443	846
344	444	844
345	445	842
346	446	840
347	447	838
348	448	837
349	449	835
350	450	833
351	451	831
352	452	830
353	453	828
354	454	826
355	455	824
356	456	822
357	457	820
358	458	818
359	459	816
360	460	814
361	461	812
362	462	811
363	463	809
364	464	807
365	465	805
366	466	803
367	467	802
368	468	800
369	469	798
370	469	796
371	470	794
372	471	793
373	472	791
374	473	789
375	474	787
376	475	785
377	476	784
378	477	782
379	478	780
380	479	778
381	480	777
382	481	775
383	482	773
384	483	771
385	484	770
386	485	768
387	485	766
388	486	764
389	487	763
390	488	761
391	489	759
392	490	757
393	491	755
394	492	754
395	493	752
396	494	750
397	495	749
398	496	747
399	497	746
400	498	744
401	499	742
402	500	741
403	501	739
404	502	737
405	502	735
406	503	734
407	504	732
408	505	730
409	506	729
410	507	727
411	508	726
412	509	724
413	510	723
414	511	721
415	512	719
416	513	718
417	514	716
418	515	714
419	516	713
420	517	711
421	518	710
422	519	708
423	520	706
424	521	704
425	521	703
426	522	701
427	523	699
428	524	698
429	525	696
430	526	695
431	527	693
432	528	692
433	529	690
434	530	688
435	531	686
436	531	685
437	532	683
438	533	681
439	534	680
440	535	678
441	536	677
442	537	675
443	538	673
444	538	672
445	539	670
446	540	668
447	541	667
448	542	665
449	543	664
450	544	662
451	545	661
452	546	659
453	546	657
454	547	656
455	548	654
456	549	653
457	550	651
458	551	649
459	552	648
460	553	646
461	554	645
462	555	644
463	556	642
464	557	641
465	558	640
466	560	639
467	561	637
468	561	636
469	562	634
470	563	633
471	564	631
472	565	630
473	566	628
474	567	627
475	568	626
476	569	624
477	571	623
478	572	622
479	573	620
480	574	619
481	574	617
482	575	616
483	576	615
484	577	613
485	578	612
486	579	610
487	580	609
488	581	607
489	582	606
490	583	605
491	584	603
492	585	602
493	586	600
494	587	599
495	588	598
496	589	596
497	590	595
498	591	593
499	592	592
500	593	590
501	594	589
502	595	588
503	596	586
504	597	585
505	598	583
506	599	582
507	600	581
508	601	579
509	602	578
510	603	577
511	604	575
512	605	574
513	606	573
514	607	571
515	608	570
516	609	568
517	610	567
518	611	566
519	612	565
520	613	563
521	614	562
522	615	560
523	616	559
524	617	558
525	618	557
526	620	556
527	621	555
528	622	554
529	623	552
530	624	551
531	625	550
532	626	549
533	627	547
534	628	546
535	629	544
536	630	543
537	631	542
538	632	540
539	633	539
540	634	537
541	635	536
542	636	535
543	637	534
544	637	532
545	638	531
546	639	529
547	640	528
548	641	527
549	642	525
550	643	524
551	644	522
552	645	521
553	646	520
554	647	518
555	647	517
556	648	516
557	649	514
558	650	513
559	651	512
560	652	510
561	653	509
562	654	508
563	655	506
564	656	505
565	657	504
566	658	502
567	659	501
568	660	500
569	661	498
570	662	497
571	663	496
572	664	494
573	664	493
574	666	492
575	667	491
576	668	489
577	669	488
578	670	487
579	671	486
580	672	484
581	673	483
582	674	482
583	675	481
584	676	479
585	677	478
586	678	477
587	679	476
588	680	474
589	681	473
590	682	472
591	684	471
592	685	470
593	686	469
594	687	467
595	688	466
596	689	465
597	690	464
598	691	462
599	692	461
600	693	460
601	693	458
602	694	457
603	695	456
604	696	454
605	697	453
606	698	452
607	699	451
608	700	449
609	701	448
610	702	447
611	703	445
612	704	444
613	705	443
614	706	441
615	706	440
616	707	439
617	708	438
618	709	436
619	710	435
620	711	434
621	712	432
622	713	431
623	714	430
624	715	429
625	716	427
626	717	426
627	718	425
628	719	424
629	720	422
630	721	421
631	722	420
632	723	419
633	724	418
634	725	417
635	726	415
636	727	414
637	728	413
638	729	412
639	730	411
640	731	409
641	732	408
642	733	407
643	734	406
644	735	404
645	736	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	742	396
652	743	395
653	744	393
654	745	392
655	746	391
656	747	390
657	748	388
658	749	387
659	750	386
660	751	385
661	752	384
662	753	382
663	754	381
664	755	380
665	756	379
666	757	377
667	758	376
668	759	375
669	760	374
670	761	373
671	762	371
672	763	370
673	764	369
674	765	368
675	766	367
676	767	365
677	768	364
678	768	363
679	769	362
680	770	361
681	771	359
682	772	358
683	773	357
684	774	356
685	775	355
686	776	353
687	777	352
688	778	351
689	779	350
690	780	349
691	781	347
692	782	346
693	783	345
694	784	344
695	785	343
696	786	341
697	787	340
698	788	339
699	789	338
700	790	337
701	791	335
702	792	334
703	793	333
704	794	332
705	795	331
706	796	329
707	797	328
708	798	327
709	799	326
710	800	325
711	801	324
712	802	323
713	803	321
714	804	320
715	805	319
716	806	318
717	807	317
718	808	315
719	809	314
720	810	313
721	811	312
722	812	311
723	813	310
724	814	309
725	815	307
726	816	306
727	817	305
728	818	304
729	819	303
730	820	302
731	821	300
732	822	299
733	823	298
734	824	297
735	825	296
736	826	295
737	827	293
738	829	292
739	830	291
740	831	290
741	832	289
742	833	288
743	834	287
744	835	285
745	836	284
746	837	283
747	838	282
748	839	281
749	840	280
750	841	278
751	842	277
752	843	276
753	844	275
754	844	274
755	845	273
756	846	271
757	847	270
758	848	269
759	849	268
760	850	267
761	852	266
762	853	264
763	854	263
764	855	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	256
770	861	255
771	862	254
772	863	253
773	864	252
774	865	251
